year,make,tested
2010,AJP,1
2010,ALFA ROMEO,1
2010,APPLIED SWEEPER,1
2010,AUSTIN,1
2010,BITELLI,1
2010,CADILLAC,1
2010,CARBODIES,1
2010,CH RACING,1
2010,CHANG MING,1
2010,DAKAR,1
2010,ERF,1
2010,FEIYING,1
2010,FUTONG,1
2010,GARELLI,1
2010,GENERIC,1
2010,HER CHE,1
2010,HINO,1
2010,HONGYI,1
2010,HY-MAC LTD,1
2010,ISUZU,1
2010,IVECO,1
2010,JCB,1
2010,JEEP,1
2010,JORDAN,1
2010,KAZUMA,1
2010,KIA,1
2010,LDV,1
2010,LONCIN,1
2010,LONSDALE,1
2010,MAGNI,1
2010,MAN / VW,1
2010,MASSEY FERGUSON,1
2010,MCC,1
2010,MINI,1
2010,MOTOR JIKOV,1
2010,NEW HOLLAND,1
2010,PEGASO,1
2010,PORSCHE,1
2010,PRAGA,1
2010,RANSOME,1
2010,REGENT,1
2010,ROADLESS,1
2010,SAAB,1
2010,SANYA,1
2010,SEAT,1
2010,SECMA,1
2010,SIMSON,1
2010,SKODA,1
2010,SMITHS,1
2010,TAISHAN,1
2010,TALBOT,1
2010,TAMORETTI,1
2010,TAYAKO,1
2010,THUMPSTAR,1
2010,VOR,1
2010,VOXAN,1
2010,WANGYE,1
2010,WARRIOR,1
2010,WINGET,1
2010,ZHONGNENG,1
2010,ADLY,2
2010,BAROSSA,2
2010,BATISTINIS,2
2010,BMC,2
2010,BOMBARDIER,2
2010,BOND,2
2010,CHAMP,2
2010,CHUNLAN,2
2010,COVENTRY CLIMAX,2
2010,DINLI,2
2010,FACTORY,2
2010,HUATIAN,2
2010,JAGUAR,2
2010,JINCHENG,2
2010,KEEN,2
2010,KINLON,2
2010,MARSHALL,2
2010,MAXUS,2
2010,MG,2
2010,MOTOBECANE,2
2010,RELIANT,2
2010,SEDDON / ATKINSON,2
2010,SKYGO,2
2010,TEC,2
2010,TOMOS,2
2010,TRIGANO,2
2010,CAN-AM,3
2010,DEMM,3
2010,KAISAR,3
2010,LANCIA,3
2010,LONGJIA,3
2010,MAZDA,3
2010,MITSUBISHI,3
2010,MOTOR HISPANIA,3
2010,NORTON VILLIERS,3
2010,POLARIS,3
2010,SINGER,3
2010,WOLSELEY,3
2010,XINGYUE,3
2010,YUAN,3
2010,DACIA,4
2010,HYUNDAI,4
2010,JONWAY,4
2010,LML,4
2010,SINSKI,4
2010,SKYTEAM,4
2010,Z Y MOTOR,4
2010,GIANTCO,5
2010,MOBYLETTE,5
2010,SANBEN,5
2010,SKYJET,5
2010,SUMOTO,5
2010,URBAN,5
2010,BAJAJ,6
2010,BRITISH TRACKSTAR,6
2010,CF MOTO,6
2010,DAYANG,6
2010,GEELY,6
2010,MERCEDES,6
2010,NISSAN,6
2010,SHINERAY,6
2010,VERTEMATI,6
2010,VOLVO,6
2010,BETTER,7
2010,PGO,7
2010,ROVER,7
2010,SMC,7
2010,TOYOTA,7
2010,WHITE KNUCKLE,7
2010,XINLING,7
2010,YIBEN MEIDUC,7
2010,CITROEN,8
2010,HAOTIAN,8
2010,HUONIAO,8
2010,MOTO ROMA,8
2010,RIEJU,8
2010,VULCAN,8
2010,CHITUMA,9
2010,DAJIANG,9
2010,DIRT PRO,9
2010,LAND ROVER,9
2010,BASHAN,10
2010,HARTFORD,10
2010,HIMO,10
2010,JIALING,10
2010,FIAT,11
2010,YIYING,11
2010,AUDI,12
2010,CPI,12
2010,ZONGSHEN,12
2010,TAIWAN GOLDEN BEE,13
2010,DAELIM,15
2010,FYM,15
2010,KINROAD,15
2010,SIAMOTO,15
2010,RENAULT,16
2010,SUPERBYKE,16
2010,CLASSIC CUSTOM,17
2010,KEEWAY,17
2010,PIONEER,18
2010,PUCH,18
2010,VOLKSWAGEN,18
2010,EBRO,19
2010,QINGQI,19
2010,EASY RIDER,20
2010,HUMBER,20
2010,VAUXHALL,22
2010,HONGDOU,26
2010,TM,26
2010,FANTIC MOTOR,28
2010,SHERCO,29
2010,FORD,30
2010,BAOTIAN,31
2010,NSU,31
2010,KANUNI,34
2010,MBK,35
2010,SCORPA,35
2010,ITALJET,37
2010,NORTON VILL. TRIUMPH,38
2010,SUKIDA,38
2010,MORINI,41
2010,MALAGUTI,47
2010,DERBI,48
2010,COSSACK,50
2010,MOTO MORINI,53
2010,RALEIGH,54
2010,INDIAN,59
2010,GREEVES,61
2010,CZ,65
2010,BULTACO,76
2010,JAMES,80
2010,NEVAL,98
2010,JINLUN,100
2010,LIFAN,100
2010,MONTESA,118
2010,URAL,119
2010,SYM,125
2010,BIMOTA,142
2010,KYMCO,147
2010,SACHS,163
2010,VESPA (DOUGLAS),190
2010,JAWA,196
2010,VICTORY,197
2010,HUSABERG,253
2010,BETA,255
2010,PEUGEOT,284
2010,PANTHER,298
2010,DOUGLAS,321
2010,HYOSUNG,398
2010,BENELLI,426
